[2020-04-06T20:51:50.258040+08:00] ShopLocation.ERROR: File No Foundshop location data txt [] []
[2020-04-06T20:52:33.829991+08:00] ShopLocation.ERROR: File No Found shop location data txt [] []
[2020-04-06T20:53:00.391555+08:00] ShopLocation.ERROR: File No Found:shop location data txt [] []
[2020-04-06T20:53:31.240144+08:00] ShopLocation.ERROR: File No Found:Shop Location data.txt [] []
[2020-04-06T20:54:38.191023+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T15:49:01.566592+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T15:50:44.466278+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T15:51:21.747358+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T15:51:39.031168+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T15:52:00.956247+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T15:58:17.393918+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:01:16.767355+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:03:25.298566+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:03:56.971047+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:04:44.458859+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:06:54.901041+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:07:07.918614+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:10:41.885700+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:21:45.983448+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:22:55.967702+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:27:56.535711+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:28:15.767051+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:30:09.967176+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:30:20.313225+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:35:16.868586+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:38:52.277080+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:44:37.955862+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:52:34.420863+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:59:03.139443+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T16:59:46.323588+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T17:04:55.810040+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T17:06:04.015685+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T17:06:53.918614+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T17:11:02.128499+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T17:12:43.099201+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T17:12:55.027941+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T17:21:01.623863+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T17:23:32.361665+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
[2020-04-08T17:24:45.087548+08:00] ShopLocation.ERROR: File No Found:Google Export Url [] []
